SiteID,StreamName,ProgID,Landmark,Type,Tags,SegID,ADBCode,ADBSegName,EcoRegionDesig,County,MajorBasin,DrainageArea,ThermalClass,HUC12,UTMNorth,UTMEast,LatDD,LonDD,IsRiffle,IsPublicLand,CurrentStatus
840,Turkey River,,Garber,Non-wadeable,2011 Nutrient (WW),148,IA 01-TRK-0200_0,Turkey River,52b,Clayton,Mississippi,1553.275,Warm Water,huc070600040902,4733357,642262,42.73954,-91.26197,N/A,False,Survey Site
841,Cedar River,,Janesville,Non-wadeable,2011 Nutrient (WW),472,IA 02-CED-0070_0,Cedar River,47c,Bremer,Mississippi,1671.095,Warm Water,huc070802011205,4722040,543726,42.64957,-92.46656,Undetermined,False,Survey Site
842,Rock River,,Hawarden,Non-wadeable,2011 Nutrient (WW),1534,IA 06-BSR-0030_0,Rock River,47a,Sioux,Missouri,1679.645,Warm Water,huc101702040805,4775895,219564,43.0839,-96.44512,N/A,False,Survey Site
843,Shell Rock River,,Shell Rock,Non-wadeable,2011 Nutrient (WW),783,IA 02-SHL-0010_2,Shell Rock River,47c,Butler,Mississippi,1730.171,Warm Water,huc070802020705,4728867,534267,42.71153,-92.58154,Undetermined,False,Survey Site
844,Wapsipinicon River,,De Witt,Non-wadeable,2011 Nutrient (WW),332,IA 01-WPS-0010_1,Wapsipinicon River,47f,Scott,Mississippi,2333.972,Warm Water,huc070801030605,4626792,704904,41.76653,-90.53491,N/A,False,Survey Site
845,Little Sioux River,,Smithland,Non-wadeable,2011 Nutrient (WW),1565,IA 06-LSR-0020_1,Little Sioux River,47m,Woodbury,Missouri,2686.702,Warm Water,huc102300031506,4681775,260236,42.25135,-95.90642,N/A,False,Survey Site
846,Raccoon River,,Upstream of Des Moines,Non-wadeable,2011 Nutrient (WW),1117,IA 04-RAC-0010_2,Raccoon River,47f,Dallas,Mississippi,3424.997,Warm Water,huc071000061702,4598513,420741,41.53434,-93.95012,N/A,False,Survey Site
847,Des Moines River,,Upstream of Fort Dodge,Non-wadeable,2011 Nutrient (WW),1219,IA 04-UDM-0060_0,Des Moines River,47b,Webster,Mississippi,4000.997,Warm Water,huc071000040404,4710848,400111,42.54356,-94.21653,Undetermined,False,Survey Site
848,Cedar River,,Downstream of Waterloo,Non-wadeable,2011 Nutrient (WW),462,IA 02-CED-0040_2,Cedar River,47c,Black Hawk,Mississippi,5234.17,Warm Water,huc070802050906,4696229,564265,42.4157,-92.21891,Undetermined,False,Survey Site
849,Cedar River,,Conesville,Non-wadeable,2011 Nutrient (WW),449,IA 02-CED-0010_0,Cedar River,72d,Muscatine,Mississippi,7788.867,Warm Water,huc070802060806,4585612,642908,41.40935,-91.29017,N/A,False,Survey Site
850,Middle Raccoon River,,Coon Rapids-Whiterock,Wadeable,,1197,IA 04-RAC-0230_1,Middle Raccoon River,47e,Guthrie,Mississippi,236.326,Warm Water,huc071000070206,4631003,363055,41.81907,-94.64888,N/A,False,Survey Site
852,Long Creek,,Coon Rapids-Whiterock,Headwater,Headwater Reference Study,6484,IA 04-RAC-0233_0,Long Creek,47e,Guthrie,Mississippi,1.843,Warm Water,huc071000070206,4631296,362779,41.82166,-94.65227,N/A,False,Survey Site
853,Bear Creek,,Dyersville,Wadeable,TMDL,108,IA 01-NMQ-0140_0,Bear Creek,47c,Delaware,Mississippi,29.48,Warm Water,huc070600060602,4707879,649236,42.50889,-91.18349,Yes,False,Survey Site
854,Willow Creek,Site 3,Royal,Wadeable,TMDL,6299,IA 06-LSR-0224_0,Willow Creek,47a,Clay,Missouri,28.415,Warm Water,huc102300030901,4767658,311294,43.03817,-95.31656,N/A,False,Survey Site
