MONIT_STATION_SEQ_NO,DTRSQQ_CODE,COUNTY_CODE,COUNTY_NAME,WBIC,OFFICIAL_WATERBODY_NAME,REGION_CODE,WSHED_CODE,GMU_CODE,WMU_CODE,HUC_CODE,ECO_REGION_CODE,STREAM_ORDER_NO,NATURAL_COMMUNITY,TEMPERATURE_CLASS,HYDRO_ID,CALC_LL_LAT_DD_AMT,CALC_LL_LONG_DD_AMT
6435,428023632,37,Marathon,1430700,Dill Creek,WC,CW18,CW,CW,07070002,51,4,COOL-WARM HEADWATER,Cool,"200130436, 600010693",44.8644533,-90.2166543
153629,428021413,37,Marathon,1427200,Big Eau Pleine River,WC,CW18,CW,CW,07070002,51,"4, 4",COOL-WARM MAINSTEM,Cool,600035870,44.91116,-90.22758
17816781,NA,62,Trempealeau,1826400,Unnamed,WC,BT08,BT,BT,07040003,52,1,COLDWATER,Cold,200109932,44.54654,-91.22792
151760,408060944,13,Dane,1248800,Halfway Prairie Creek,SC,LW17,LW,LW,07070005,52,"3, 3",COLDWATER,Cold,200029742,43.17683,-89.78017
2057,228020114,10,Clark,1752900,Popple River,WC,BR11,BT,BR,07040007,51,5,COOL-COLD MAINSTEM,Cool,"200135642, 600091794",44.9397008,-90.5570618
153758,245052132,4,Bayfield,2911900,Marengo River,NO,LS12,LS,LS,04010302,50,"4, 4",COLDWATER,Cold,200198631,46.36024,-91.00641
51152,430040134,37,Marathon,1461100,McGinnis Creek,WC,CW26,CW,CW,07070002,51,NA,COOL-COLD HEADWATER,Cool,NA,45.1051727,-89.9785556
153766,NA,21,Forest,457800,North Branch Oconto River,NO,GB05,HW,GB,04030104,50,3,COOL-WARM MAINSTEM,Cool-Warm,200164754,45.444466,-88.66838
17815791,NA,62,Trempealeau,1677500,Beaver Creek,WC,BR02,BT,BR,07040007,52,5,COOL-WARM MAINSTEM,Cool,"200075114, 600090709",44.113514,-91.334984
10595214,NA,53,Richland,1221300,Little Willow Creek,SC,LW12,LW,LW,07070005,52,2,COOL-COLD HEADWATER,Cool-Cold,200209152,43.420044,-90.29805
17815664,NA,10,Clark,1754750,Unnamed,WC,BR11,BT,BR,07040007,51,1,MACROINVERTEBRATE,Cool-Warm,200135639,44.943768,-90.410164
17815204,NA,50,Portage,1399370,Unnamed,WC,CW11,CW,CW,07070003,51,1,COOL-WARM HEADWATER,Cool-Warm,200112962,44.587334,-89.76298
104060,408062634,13,Dane,1249200,Vermont Creek,SC,LW17,LW,LW,07070005,52,"3, 3",COOL-COLD MAINSTEM,Cool-Cold,200028096,43.13539,-89.75138
100860,228082412,9,Chippewa,2153000,Stillson Creek,WC,LC19,LC,LC,07050005,51,"2, 2",COLDWATER,Cold,200133404,44.900494,-91.29454
102416,227021123,10,Clark,1752900,Popple River,WC,BR11,BT,BR,07040007,51,"5, 5",COOL-WARM MAINSTEM,Cool,"200129064, 600091794",44.836998,-90.59831
153658,NA,62,Trempealeau,1824500,Unnamed,WC,BT08,BT,BT,07040003,52,2,COOL-COLD HEADWATER,Cool-Cold,200109444,44.537178,-91.42762
151662,NA,65,Walworth,793800,Jackson Creek,SE,LR01,LR,LR,07090002,53,2,COOL-WARM HEADWATER,Cool-Warm,200006308,42.64571,-88.5411
17815695,NA,6,Buffalo,1817100,Pratt Creek,WC,BT07,BT,BT,07040003,52,3,COLDWATER,Cold,200104741,44.46131,-91.70091
102512,228041043,10,Clark,2145400,North Fork Eau Claire River,WC,LC17,LC,LC,07050006,51,"4, 4",COOL-COLD MAINSTEM,Cool,"600035440, 200134345",44.915836,-90.848236
153756,NA,51,Price,2252000,Sailor Creek,NO,UC10,UC,UC,07050003,50,4,COOL-WARM MAINSTEM,Cool-Warm,200183058,45.86161,-90.33048
17816206,NA,23,Green,892800,Spring Creek,SC,SP01,GP,SP,07090003,53,3,COOL-COLD HEADWATER,Cool-Cold,200001318,42.524727,-89.71964
103037,402093431,23,Green,877400,Sylvester Creek,SC,SP11,GP,SP,07090004,53,"4, 4",COOL-COLD MAINSTEM,Cool-Cold,200004449,42.602573,-89.41692
153604,427031341,37,Marathon,1427200,Big Eau Pleine River,WC,CW18,NA,CW,07070002,51,5,WARM MAINSTEM,Warm,"600038601, 200128142",44.8210864,-90.0807343
17815750,NA,6,Buffalo,1818000,Unnamed,WC,BT07,BT,BT,07040003,52,2,COOL-COLD HEADWATER,Cool-Cold,200104722,44.46783,-91.59479
50598,404063542,23,Green,901000,Dougherty Creek,SC,SP03,GP,SP,07090003,52,"3, 3",COOL-COLD HEADWATER,Cool-Cold,200011466,42.7753642,-89.7498673
153753,245012221,26,Iron,2925000,Rouse Creek,NO,LS13,LS,LS,04010302,50,"2, 2",COLDWATER,Cold,200198559,46.36809,-90.47793
104146,229180644,56,Saint Croix,3000345,Unnamed,WC,SC02,NA,SC,07030005,47,1,NA,NA,200142633,45.0243476,-92.6008563
153594,NA,18,Eau Claire,2130600,Bridge Creek,WC,LC14,LC,LC,07050006,51,4,COOL-WARM MAINSTEM,Cool-Warm,200119228,44.684376,-91.12687
153765,NA,43,Oconto,480900,South Branch Oconto River,NE,GB06,UG,GB,04030104,50,4,COOL-WARM MAINSTEM,Cool-Warm,200147401,45.136227,-88.59462
17815180,NA,16,Douglas,2699500,Ounce River,NO,SC20,SC,SC,07030002,50,3,COOL-COLD MAINSTEM,Cool-Cold,200195022,46.232002,-91.55563
17815171,NA,68,Waukesha,769800,Genesee Creek,SE,FX04,IF,FX,07120006,53,3,COOL-COLD HEADWATER,Cool,"600090487, 200021039",42.962627,-88.358345
1973,428011332,10,Clark,1430700,Dill Creek,WC,CW18,CW,CW,07070002,51,3,COOL-WARM HEADWATER,Cool,"200133197, 600091262",44.9062,-90.3324605
11699188,NA,13,Dane,1248900,Wendt Creek,SC,LW17,LW,LW,07070005,52,3,COLDWATER,Cold,200029063,43.165806,-89.74683
13219,NA,68,Waukesha,3000069,South Branch Genesee River,SE,FX04,IF,FX,07120006,53,2,COOL-COLD HEADWATER,Cool-Cold,200021130,42.964973,-88.364494
153580,NA,23,Green,892300,Honey Creek,SC,SP01,GP,SP,07090003,53,2,COOL-COLD HEADWATER,Cool-Cold,200003602,42.578068,-89.680084
17815962,NA,6,Buffalo,1817700,Threemile Creek,WC,BT07,BT,BT,07040003,52,3,COLDWATER,Cold,200104591,44.465427,-91.626434
11630348,NA,23,Green,901000,Dougherty Creek,SC,SP03,GP,SP,07090003,52,2,COOL-COLD HEADWATER,Cool-Cold,200011925,42.782394,-89.74706
